,Unnamed: 0,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
0,1901,569528348126216193,negative,1.0,Cancelled Flight,1.0,United,,cryancox,,0,any chance you could help rebook?? My flight Cancelled Flightled,,2015-02-22 08:05:14 -0800,,
1,1904,569526800767983616,negative,1.0,Cancelled Flight,0.6871,United,,AdamDonkus,,0,you really need a better system for handling Cancelled Flightled flights,,2015-02-22 07:59:05 -0800,"Bechtelsville, PA",Eastern Time (US & Canada)
2,1907,569526143730077696,negative,1.0,Customer Service Issue,0.6813,United,,ATL_Attorney,,0,It is also inappropriate to lie to passengers to induce them into accepting a voucher by telling them you have availability on Late Flightr,,2015-02-22 07:56:28 -0800,"Atlanta, GA",Quito
3,1908,569526070615138304,negative,1.0,Lost Luggage,1.0,United,,Finrz,,0,give me a direct number I can call regarding my lost baggage immediately.,,2015-02-22 07:56:11 -0800,"iPhone: 55.946030,-3.189382",Hawaii
4,1909,569525760337162241,negative,1.0,Cancelled Flight,0.684,United,,ATL_Attorney,,0,involuntarily bumped your passenger and can't guarantee them another flight for three days!,,2015-02-22 07:54:57 -0800,"Atlanta, GA",Quito
5,1910,569525690950815745,negative,1.0,Customer Service Issue,0.3725,United,,ATL_Attorney,,0,Please follow FAA guidelines regarding bumping. It is NOT acceptable to give a $300 voucher for an $800 fare when you've,,2015-02-22 07:54:40 -0800,"Atlanta, GA",Quito
6,1911,569523831460761601,negative,1.0,Cancelled Flight,1.0,United,,czamkoff,,0,"I did already rebook, and now I will miss my first appointments in London tomorrow morning. Thanks for ruining my trip - AGAIN!",,2015-02-22 07:47:17 -0800,,
7,1912,569523440547291136,negative,1.0,Late Flight,0.6875,United,,moss_jas,,0,". Our newest delay, right now",,2015-02-22 07:45:44 -0800,,Eastern Time (US & Canada)
8,1913,569523231524319232,negative,1.0,Customer Service Issue,0.6796,United,,goldsteinmlg,,0,"If you show available seats, you need to honor that! I shouldnt spend 1hr on phone to hear that \""really there are 3 not 4 seats\""",,2015-02-22 07:44:54 -0800,,
9,1914,569522354008805376,negative,1.0,Customer Service Issue,1.0,United,,goldsteinmlg,,0,50 min on hold trying to book award flight because site errors out.  Agents ask for my pin to see platinum availability??? badbadbad,,2015-02-22 07:41:25 -0800,,
10,1915,569522040547385344,negative,1.0,Can't Tell,1.0,United,,StregaHorn,,0,is a joke.  Lots of angry people at IAH this AM.,,2015-02-22 07:40:10 -0800,"Houston, TX",Central Time (US & Canada)
11,1917,569521101736439809,negative,1.0,Customer Service Issue,0.3618,United,,BenHabbel,,0,completely unacceptable to seat 1st class passenger into middle seat in 38 (not even premium economy),,2015-02-22 07:36:26 -0800,New York City,Pacific Time (US & Canada)
12,1918,569521081125629953,negative,1.0,Customer Service Issue,0.6703,United,,bushth07,,0,"Found flight after 2.5 hrs. How am I offered a $200 flight voucher 12 hrs before, lose my seat out of neglect, then get nothing?",,2015-02-22 07:36:21 -0800,43206,Eastern Time (US & Canada)
13,1923,569517484102909952,negative,1.0,Late Flight,0.7092,United,,throthra,,0,"right as we think we will take off, we stop to get de-iced. Why wasn't this done when the planes were sitting out all night?",,2015-02-22 07:22:03 -0800,,
14,1924,569517360828145664,negative,1.0,Customer Service Issue,0.6939,United,,RJordan47,,0,two service agents hung up on me the third was able to get me a flight on US air today. Three calls and 2.5 hours to get a flight,,2015-02-22 07:21:34 -0800,Oklahoma,Central Time (US & Canada)
15,1925,569517323180236800,negative,1.0,Late Flight,1.0,United,,laurahotaling,,0,Delayed more and more these days. MCO &gt; IAD. Fingers crossed I make my connection home to Albany.,,2015-02-22 07:21:25 -0800,,
16,1926,569516969969389568,negative,1.0,Bad Flight,0.3529,United,,NosihtamInc,,0,"your first class is a joke, compared to all the others I have flown, don't ask for extra peanuts... That's NOT allowed!",,2015-02-22 07:20:01 -0800,"Winnipeg, Manitoba",Central Time (US & Canada)
17,1927,569516852805808129,negative,1.0,Customer Service Issue,0.6308,United,,KapuriaMd,,0,I have been given a connection with 2 overnight layovers. No vouchers. Last connection not even confirmed.,,2015-02-22 07:19:33 -0800,,
18,1929,569516566380875778,negative,1.0,Damaged Luggage,1.0,United,,NosihtamInc,,0,I would like your baggage damage number as well! Another great thing from your 'trained' staff! Whats the number please.. Claim time,,2015-02-22 07:18:25 -0800,"Winnipeg, Manitoba",Central Time (US & Canada)
19,1930,569515688898875393,negative,1.0,Flight Attendant Complaints,0.6657,United,,NosihtamInc,,0,"100% I will put together a very serious email, with all the issues that arose on our vacation due to your staff I will post it here",,2015-02-22 07:14:55 -0800,"Winnipeg, Manitoba",Central Time (US & Canada)
20,1931,569515118125408256,negative,0.6854,Can't Tell,0.3596,United,,GusSpaulding,,0,thank you for fully boarding flight 1689 this morning before noticing we had no pilots.,,2015-02-22 07:12:39 -0800,"New York, NY",
21,1932,569514750842789888,negative,1.0,longlines,0.682,United,,worldknits,,0,the long wait was the icing on the cake. Why don't you fix your reservation system so the confirm # doesn't get changed mid-travel,,2015-02-22 07:11:12 -0800,"Fredericksburg, VA",Eastern Time (US & Canada)
22,1933,569514430393913344,negative,1.0,Cancelled Flight,1.0,United,,czamkoff,,1,you guys SUCK! Another Cancelled Flighted flight! Every flight with you has an issue!,,2015-02-22 07:09:55 -0800,,
23,1935,569514063019053056,negative,1.0,Can't Tell,0.667,United,,DanielPaulEller,,0,more lies...,,2015-02-22 07:08:28 -0800,Chicago,Central Time (US & Canada)
24,1936,569514001450672128,negative,1.0,Customer Service Issue,1.0,United,,roryfreeman87,,0,they wouldn't let me on. Real nice of you! Just love your awesome service. And U have 2 people working this customer service line..,"[29.98870677, -95.33845443]",2015-02-22 07:08:13 -0800,california,Central Time (US & Canada)
25,1937,569513811285311488,negative,1.0,Late Flight,0.7143,United,,BuickJohnc,,0,after 6 hour plus delay from  finally on flight to  all very tired,,2015-02-22 07:07:28 -0800,Edinburgh,
26,1939,569513498016923648,negative,1.0,Can't Tell,0.6633,United,,DanielPaulEller,,0,I don't believe that you do..,,2015-02-22 07:06:13 -0800,Chicago,Central Time (US & Canada)
27,1941,569512714961362944,negative,1.0,Late Flight,1.0,United,,KapuriaMd,,0,": flight delayed by 24 hours, lost my wallet, have no money to eat or sleep yet your representatives will not help.",,2015-02-22 07:03:06 -0800,,
