,Unnamed: 0,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
0,1,570301130888122368,positive,0.3486,,0.0,Virgin America,,jnardino,,0,plus you've added commercials to the experience... tacky.,,2015-02-24 11:15:59 -0800,,Pacific Time (US & Canada)
1,6,570300616901320704,positive,0.6745,,0.0,Virgin America,,cjmcginnis,,0,"yes, nearly every time I fly VX this “ear worm” won’t go away :)",,2015-02-24 11:13:57 -0800,San Francisco CA,Pacific Time (US & Canada)
2,8,570299953286942721,positive,0.6559,,,Virgin America,,dhepburn,,0,"Well, I didn't…but NOW I DO! :-D",,2015-02-24 11:11:19 -0800,San Diego,Pacific Time (US & Canada)
3,9,570295459631263746,positive,1.0,,,Virgin America,,YupitsTate,,0,"it was amazing, and arrived an hour early. You're too good to me.",,2015-02-24 10:53:27 -0800,Los Angeles,Eastern Time (US & Canada)
4,11,570289724453216256,positive,1.0,,,Virgin America,,HyperCamiLax,,0,I <3 pretty graphics. so much better than minimal iconography. :D,,2015-02-24 10:30:40 -0800,NYC,America/New_York
5,12,570289584061480960,positive,1.0,,,Virgin America,,HyperCamiLax,,0,This is such a great deal! Already thinking about my 2nd trip to  & I haven't even gone on my 1st trip yet! ;p,,2015-02-24 10:30:06 -0800,NYC,America/New_York
6,13,570287408438120448,positive,0.6451,,,Virgin America,,mollanderson,,0,I'm flying your   skies again! U take all the  away from travel,,2015-02-24 10:21:28 -0800,,Eastern Time (US & Canada)
7,14,570285904809598977,positive,1.0,,,Virgin America,,sjespers,,0,Thanks!,,2015-02-24 10:15:29 -0800,"San Francisco, CA",Pacific Time (US & Canada)
8,16,570277724385734656,positive,1.0,,,Virgin America,,ItzBrianHunty,,0,So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America.,,2015-02-24 09:42:59 -0800,west covina,Pacific Time (US & Canada)
9,18,570270684619923457,positive,1.0,,,Virgin America,,thebrandiray,,0,I ❤️ flying  ☺️👍,,2015-02-24 09:15:00 -0800,Somewhere celebrating life. ,Atlantic Time (Canada)
10,19,570267956648792064,positive,1.0,,,Virgin America,,JNLpierce,,0,you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,,2015-02-24 09:04:10 -0800,Boston | Waltham,Quito
11,21,570264145116819457,positive,1.0,,,Virgin America,,DT_Les,,0,I love this graphic.,"[40.74804263, -73.99295302]",2015-02-24 08:49:01 -0800,,
12,22,570259420287868928,positive,1.0,,,Virgin America,,ElvinaBeck,,0,I love the hipster innovation. You are a feel good brand.,,2015-02-24 08:30:15 -0800,Los Angeles,Pacific Time (US & Canada)
13,34,570076792993611776,positive,1.0,,,Virgin America,,NorthTxHomeTeam,,0,this is great news!  America could start flights to Hawaii by end of year  via,"[33.2145038, -96.9321504]",2015-02-23 20:24:33 -0800,Texas,Central Time (US & Canada)
14,36,570051381534396416,positive,1.0,,,Virgin America,,Nicsplace,,0,Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈,,2015-02-23 18:43:35 -0800,Central Texas,
15,37,570045393565691904,positive,1.0,,,Virgin America,,Nicsplace,,0,"Done and done! Best airline around, hands down!",,2015-02-23 18:19:47 -0800,Central Texas,
16,40,570033593394667521,positive,0.6639,,,Virgin America,,jamesferrandini,,0,"View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains!",,2015-02-23 17:32:54 -0800,,
17,45,570012257549070337,positive,1.0,,,Virgin America,,arieldaie,,0,I'm  for a good reason: you rock!!,,2015-02-23 16:08:07 -0800,Los Angeles,
18,47,570010571707256832,positive,1.0,,,Virgin America,,ChelseaPoe666,,0,wow this just blew my mind,,2015-02-23 16:01:25 -0800,Oakland via Midwest ,Atlantic Time (Canada)
19,51,570006886012973056,positive,0.657,,,Virgin America,,joyabsalon,,0,Julie Andrews all the way though  was very impressive! NO to,,2015-02-23 15:46:46 -0800,Northern Virginia,Eastern Time (US & Canada)
20,56,569996245462159361,positive,1.0,,,Virgin America,,VinnieFerra,,0,you know it. Need it on my spotify stat,,2015-02-23 15:04:29 -0800,"brooklyn, Ny",Pacific Time (US & Canada)
21,57,569990222609412097,positive,0.635,,,Virgin America,,KevinDemsi,,0,I'm Lady Gaga!!! She is amazing! 😊,,2015-02-23 14:40:33 -0800,"Bali, Republic of Indonesia",Kuala Lumpur
22,64,569986348041547778,positive,1.0,,,Virgin America,,jeffreymace01,,0,love all three but you really can't beat the classics!,,2015-02-23 14:25:09 -0800,,
23,68,569972508499283968,positive,0.6922,,,Virgin America,,Travelzoo,,0,Congrats on winning the  award for Best Deals from an Airline (US),,2015-02-23 13:30:10 -0800,"New York, NY",Pacific Time (US & Canada)
24,74,569942903683813376,positive,1.0,,,Virgin America,,mrmichaellay,,0,"not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","[36.08457854, -115.13780136]",2015-02-23 11:32:31 -0800,Floridian from Cincinnati ,Eastern Time (US & Canada)
25,75,569941957490774016,positive,1.0,,,Virgin America,,TaylorLumsden,,0,awesome. I flew yall Sat morning. Any way we can correct my bill ?,,2015-02-23 11:28:46 -0800,"Dallas, Texas",Mountain Time (US & Canada)
26,81,569933777931145216,positive,1.0,,,Virgin America,,artisticwritr87,,0,I've applied more then once to be a member of the  crew team...Im 100% interested.   -G,,2015-02-23 10:56:16 -0800,"Seattle, WA",Pacific Time (US & Canada)
27,105,569887049446076416,positive,1.0,,,Virgin America,,TheDuchessSF,,0,"- amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best!",,2015-02-23 07:50:35 -0800,Online,Pacific Time (US & Canada)
28,109,569873669700358144,positive,0.6823,,0.0,Virgin America,,flyfromWAS,,0,"has getaway deals through May, from $59 one-way. Lots of cool cities",,2015-02-23 06:57:25 -0800,"Washington, DC",Eastern Time (US & Canada)
29,111,569873665640292353,positive,0.6806,,,Virgin America,,flyfromNYC,,0,"has getaway deals through May, from $59 one-way. Lots of cool cities",,2015-02-23 06:57:24 -0800,"New York City, NY",Central Time (US & Canada)
30,113,569872058613673984,positive,0.6779999999999999,,,Virgin America,,Silvanabfer,,0,Have a great week 🌞✈,,2015-02-23 06:51:01 -0800,,
31,114,569861209781989377,positive,0.3482,,0.0,Virgin America,,AdamJdubs,,0,come back to  already. We need you to take us out of this horrible cold.,,2015-02-23 06:07:54 -0800,Earth,Eastern Time (US & Canada)
32,116,569814339785338880,positive,1.0,,,Virgin America,,tstashajones,,0,"is the best airline I have flown on.Easy to change your reservation,helpful representatives & a comfortable flying experience",,2015-02-23 03:01:39 -0800,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada)
33,117,569777607371128834,positive,1.0,,,Virgin America,,SkateMamas,,0,and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,,2015-02-23 00:35:42 -0800,"Los Angeles, CA",
34,118,569774078233419776,positive,1.0,,,Virgin America,,dngoo,,0,your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,,2015-02-23 00:21:40 -0800,"Near a park, water, or lights",Pacific Time (US & Canada)
35,119,569770363623575552,positive,1.0,,,Virgin America,,SamBrittenham,,0,"Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",,2015-02-23 00:06:55 -0800,USA,Eastern Time (US & Canada)
36,123,569714127792254976,positive,1.0,,,Virgin America,,ptbrodie,,0,thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,,2015-02-22 20:23:27 -0800,San Francisco,
37,124,569675144353828864,positive,1.0,,,Virgin America,,cheryleng,,0,you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,"[33.9469039, -118.40716847]",2015-02-22 17:48:33 -0800,,Pacific Time (US & Canada)
38,127,569652497947734017,positive,1.0,,,Virgin America,,JKF1897,,0,completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time.,,2015-02-22 16:18:33 -0800,,
39,136,569625739231948800,positive,1.0,,,Virgin America,,lisaptv,,1,you ROCK for making it so I can watch  on my flight!!,,2015-02-22 14:32:14 -0800,,Mountain Time (US & Canada)
40,138,569620102389350401,positive,0.7011,,,Virgin America,,HollywoodHotMom,,0,always!!! Xoxo,,2015-02-22 14:09:50 -0800,All Over!,Pacific Time (US & Canada)
41,141,569616490380439552,positive,1.0,,,Virgin America,,SkateMamas,,0,best customer service rep in the world!  takes the cake!!!,,2015-02-22 13:55:28 -0800,"Los Angeles, CA",
